judul,artis,lirik
Sayang,Via Vallen,"4 Contributors
Sayang Lyrics
[Lirik ""Sayang""]
[Chorus]
Sayang
Opo kowe krungu jerit e atiku
Mengharap engkau kembali
Sayang
Nganti memutih rambutku
Ra bakal luntur tresnoku
[Verse 1]
Wes tak coba ngelaleke jenengmu soko atiku
Sak tenane ra ngapusi isih tresno sliramu
Suko pujane ati nanging koe ora ngerti
Kowe seng tak wanti wanti
Malah jebul sak iki koe mblenjani janji
Jare sehidup semati nanging opo bukti
Kowe medot tresnoku demi wedoan liyo
Yowes ora popo insyaallah aku isoh, lilo
[Pre-Chorus]
Meh sambat kaleh sinten yen sampun mekaten
Merana urip ku (Oaoe)
Aku welasno kangmas
Aku mesakno aku
Aku nangis, nganti metu eluh getih putih

[Chorus]
Sayang
Opo kowe krungu, jerit e atiku
Mengharap engkau kembali
Sayang
Nganti memutih rambutku
Ra bakal luntur tresnoku
[Verse 2]
Hari demi hari uwes tak lewati
Yen pancen dalane kudu kuat ati
Ibarate sego uwes dadi bubur
Nanging tresno iki ora bakal luntur
Sak tenane aku iki pancen tresno awakmu
Ora ono liyane sing isoh dadi penggantimu
Wes kanggo awakmu seng cocok neng atiku
Nganti atiku njerit atimu ra bakal krungu
[Pre-Chorus]
Meh sambat kaleh sinten yen sampun mekaten
Merana uripku (Oaoe)
Aku welasno kangmas
Aku mesakno aku
Aku nangis, nganti metu eluh getih putih
[Chorus]
Sayang
Opo kowe krungu, jerit e atiku
Mengharap engkau kembali
Sayang
Nganti memutih rambutku
Ra bakal luntur tresnoku

[Bridge]
Sayang opo krungu tangis e atiku
Mengharap koe bali neng jero ati iki
Nganti rambutku putih tangis eloh dadi getih
Mbok yo gek ndang bali nglakoni tresno suci
Aku marang sliramu jok ragu neng atiku
Aku ra isoh ngapusi sak tenan e neng ati
Mung kango sliramu
Cinta mu tetap abadi
Selamanya sampai akhir hayat ini
[Pre-Chorus]
Meh sambat kaleh sinten yen sampun mekaten
Merana urip ku (oaoe)
Aku welasno kangmas
Aku mesakno aku
Aku nangis, nganti metu eluh getih putih
[Chorus]
Sayang
Opo kowe krungu, jerit e atiku
Mengharap engkau kembali
Sayang
Nganti memutih rambutku
Ra bakal luntur tresnoku

[Outro]
Percoyo opo bebojomu
Cintamu kan tetap abadi"
Selamat Tinggal Sayang,Haqiem Rusli,"7 Contributors
Selamat Tinggal Sayang Lyrics
Aku berhenti
Berhenti berharap
Untuk mendapatkan cinta darimu
Tak bisa kau melihat
Besarnya cinta ini padamu
Ku selalu menangis
Dan ku selalu bersedih
Melihat engkau bersama yang lain
Tersiksa jiwa ini
Terluka hati ini
Sayangku
Selamat tinggal sayang
Ku Ucapkan kepadamu
Pergi Kau dari hidupku
Ku Tak ingin disakiti
Ku selalu menangis
Dan ku selalu bersedih
Melihat engkau bersama yang lain
Tersiksa jiwa ini
Terluka hati ini
Sayangku

Selamat tinggal sayang
Ku ucapkan kepadamu
Pergi kau dari hidupku
Ku tak ingin disakiti
Selamat tinggal kasih
Ku ucapkan kepadamu
Pergi kau dari hidupku
Ku tak ingin disakiti"
Kasih Sayang Kepada Orang Tua,Mawang,"5 Contributors
Kasih Sayang Kepada Orang Tua Lyrics
[Lirik ""Kasih Sayang Kepada Orang Tua""]
[Spoken Intro]
Mungkin, ehh, semuanya mempunyai orang tua, mungkin
Sama seperti saya mempunyai seorang ayah dan seorang ibu
Susah buat ngungkapin perasaan lewat kata-kata
""Mah, abdi nyaah ka mamah
Pah, abdi nyaah ka bapa, asa gengsi.""
Nggak
 bisa beribu-ribu kata
Nggak
 bisa buat ngalahin kasih sayang kita ke orang tua
Mungkin buat orang-orang yang masih ada kedua orang tua, sayangi mereka
Di urang teh nyaah kitu
.
Tapi, 
dititah meulih cengek ge' hese
.
Lagu ini saya persembahkan untuk orang tua saya
Semuanya, semoga bisa meluapkan isi hati
[Verse 1]
Nuwennahi nuwennahi nuhyee' (Hgg)
Ennuwennahi nuwennahi nuhyeee' (Hgg)
Nuwennahi nuwennahi nuhye' (Hgg)
Nuwennahi nuwennahi nuhyeeh
[Chorus]
Aaaaaaaaaaaaaaaaaahhhhh
I love you mama, I love you papa, woohoo
Aaaaaaaaaaaaaaaaaahhhhh

[Verse 2]
Nuwennahi nuwennahi nuhye' ye' ye' (Hgg hgg hgg)
Nuwennahi nuwennahi nuhyeee'' (Hggg)
Nuwennahi nuwennahi nuhhhhyeee'
Yeeu nuwennahi nuwennahi nuhg'ye'
(Ya, semua bisa teriak, ya buat kasih sayang kepada orang tua)
[Chorus]
Aaaaaaaaaaaaaaaaaahhhhh (Iiiiiiiiiiiihhhhh)
Aaaaaaaaaaaaaaaaaahhhhh
I love you mama I love you papa
Aaaaaaaaaaaaaaaaaahhhhh (Iiiiiiiiiiihhhhh)
PAPAAAA MAMAAAA
Aaaaaaaaah
[Outro]
Nuwennahi nuwennahi nuhye' (Hgg)
Ennuwennahi nuwennahi nuuuuuhhhhyeeee' (Hgg)
Nuwennahi nuwennahi nuhye'"
Ku Hanya Sayang Padamu,Aiman Tino,"7 Contributors
Ku Hanya Sayang Padamu Lyrics
[Verse]
Mungkin kali ini bukan lagi aku yang kau sakitkan
Mungkin tiada lagiku di dunia ini, kau bidadari
[Pre-Chorus]
Bila malam, bila rindu
Tiap kali kucuba melupakan mu
Ada sajamu kata padaku
Aku dihidupmu, woah
Bukan aku mahu jauh
Bukan juga kubenci pada dirimu
Bukan niatku lukai kamu
Bukannya diriku, woah
[Chorus]
Benar, kuhanya sayang padamu
Bukannya takdirku untuk bersamamu
Jika setiap langkahku ini terhenti disini
Untuk selamanya
Izinkan kupergi
[Pre-Chorus]
Bila malam, bila rindu
Tiap kali kucuba melupakanmu
Ada sajamu kata padaku
Aku dihidupmu, woah
Bukan aku mahu jauh
Bukan juga kubenci pada dirimu
Bukan niatku lukai kamu
Bukannya diriku, woah

[Chorus]
Benar, kuhanya sayang padamu
Bukannya takdirku untuk bersamamu
Jika setiap langkahku ini terhenti disini
Untuk selamanya
Izinkan kupergi
Izinkan kupergi
Izinkan kupergi"
’Di Ka Sayang,Ben&Ben,"8 Contributors
Translations
English
’Di Ka Sayang Lyrics
[Verse 1]
Kahit 'di mo sinasabi, ramdam ko ang pagkukunwari
Akala'y masaya, ba't parang may lungkot sa tawa?
Bigat ng mga katanungang dumadagan sa 'yong isipan
'Di kailangan na buhating mag-isa
[Chorus]
'Di ka sayang, 'di kailangang manghinayang
'Di ka sayang, 'di kailangang patunayan
Sarili ay mahalaga kahit pa ano'ng tingin nila
Tanggap kita
[Verse 2]
Itapon na sa kalawakan
Sanlibong bakit na 'di matuldukan
'Di kailangan na buhating mag-isa
[Chorus]
'Di ka sayang, 'di kailangang manghinayang
'Di ka sayang, 'di kailangang patunayan, woah
Sarili ay mahalaga kahit pa ano'ng tingin nila
[Bridge]
Tanggap kita
Kahit talikuran ka nila
Tanggap kita
Itawag na ang 'yong pangangamba
'Di pa huli para humilom
Ang mga sugat ng iyong nakaraan
'Di kita iiwan

[Chorus]
'Di ka sayang, 'di kailangang manghinayang
'Di ka kulang, 'di kailangang patunayan, woah
Sarili ay mahalaga
Kahit pa ano'ng tingin nila
Tanggap kita
Tanggap kita, woah
Sarili ay mahalaga
Kahit pa ano'ng tingin nila
Tanggap kita
[Outro]
Tanggap kita
Tanggap kita
Tanggap kita"
Baik Baik Sayang,Wali (Band),"1 Contributor
Baik Baik Sayang Lyrics
Aku tak ingin
Kau menangis bersedih
Sudahi airmata darimu
Yang aku ingin
Arti hadir diriku
Kan menghapus dukamu
Sayang...
Karena bagiku kau kehormatanku
Dengarkan... Dengarkan aku
Hanya satu pintaku
Untukmu dan hidupmu
Baik-baik Sayang
Ada aku untukmu
Hanya satu pintaku
Disiang dan malammu
Baik-baik Sayang
Karna aku untukmu
Semua keinginan akan aku lakukan
Sekuat semampuku Sayang
Karena bagiku kau kehormatanku
Dengarkan... Dengarkan aku
Hanya satu pintaku
Untukmu dan hidupmu
Baik-baik Sayang
Ada aku untukmu
Hanya satu pintaku
Disiang dan malammu
Baik-baik Sayang
Karna aku untukmu"
Doaku Untukmu Sayang,Wali (Band),"1 Contributor
Doaku Untukmu Sayang Lyrics
Kau mau aku apa, pasti kan ku beri
Kau minta apa, akan ku turuti
Walau harus aku terlelap dan letih
Ini demi kamu sayang
Reff:
Aku tak akan berhenti
Menemani dan menyayangimu
Hingga matahari tak terbit lagi
Bahkan bila aku mati
Ku kan berdoa pada Ilahi
Tuk satukan kami di surga nanti
Tahukah kamu apa yang ku pinta
Di setiap doa sepanjang hariku
Tuhan tolong aku, tolong jaga dia
Tuhan aku sayang dia
Repeat reff
(Tuhan tolong aku, jaga jaga dia
Tuhan ku pun sayang dia)
Repeat reff"
Aku Sayang,joe br$ther,"6 Contributors
Aku Sayang Lyrics
[Verse]
Aku sayang, kamu juga sayang
Tapi sayang
Kita berjauhan
Tah—"
Manis Dan Sayang,Koes Plus,"1 Contributor
Manis Dan Sayang Lyrics
[Lirik “Manis Dan Sayang”]
[Verse 1]
Tersenyum dianya padaku
Manis, manis, manis
Ku belai rambutnya yang hitam
Sayang, sayang, sayang
[Chorus]
Alangkah senang hatiku
Bila ku dekat denganmu
Alangkah senang hatiku
Sayangku hanya untukmu
[Verse 2]
Kuingin tamasya bersama
Jauh, jauh, jauh
Melihat pemandangan alam
Indah, indah, indah
[Chorus]
Alangkah senang hatiku
Bila ku dekat denganmu
Alangkah senang hatiku
Sayangku hanya untukmu"
Sayang Lahir Batin,Wali (Band),"1 Contributor
Sayang Lahir Batin Lyrics
Dengarkanlah Aku Cerita Hatiku
Cerita Tentangmu
Aku Mau Ikhlas Ikhlas Menyayangimu
Tutuplah Matamu
Cukup Aku Dan Tuhan Yang Tahu
( Korus )
Aku Tlah Berjanji Menyayangimu
Lahir Dan Batinku
Aku Tlah Berjanji Mendampingimu
Lahir Dan Batinku
Andai Engkau Tahu Ku Siap Mati Untukmu
Jiwa Dan Ragaku
Cukup Aku Dan Tuhan Yang Tahu
( Ulang Korus )(3x)
Andai Engkau Tahu Ku Siap Mati Untukmu"
Why You Always Hatin?,YG,"112 Contributors
Why You Always Hatin? Lyrics
Throughout this song YG and Drake drop braggadocio bars, as they question how anyone could hate on, and doubt, them despite their success. The duo are joined by up-and-coming Oakland rapper Kamaiyah, who… 
Read More
 
[Verse 1: YG]
All up in my face, you not from the clique
Give me space, we might rob your shit
Most hated, baby they don't love the clique
I thought they love you when you make it
This some other shit, yeah
Yeah, yeah, this some other shit
Friends and business don't mix, so I'm brotherless
Tryna get back close, hit 'em with the stiff
Gears I shift, make sure they feel the drift
Just copped the Benzo with the tint
You should know cause in every song I said this shit
Yeah, in every song I said this shit
I'm just, I'm just proud of my accomplishments
I'm a 4Hunnid nigga, I don't care at all
Have her suck dick, lick the head and all
Heard you talkin' 'bout I'm real, I'm fraud
Your kids and broad, they straight, you shouldn't care at all
[Chorus: Kamaiyah & 
YG
]
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'

[Verse 2: Drake]
Hunnid 4 times how it go down
Slaps on deck for the Oaktown
On mamas, man I did it with my own sound
And I got my own city that I hold down
Just admit it already
You got plans to do it, but we did it already
Got a couple DMs I done slid in already
Gotta ask YG if he hit it already, yeah
I'm a star like Moesha's nigga
Runnin' up the numbers like Ayesha's nigga
Yeah, I be slidin', I be creepin', nigga
Girls these days, they just don't know how to keep a nigga
But I got it all handled
They try to box me in, I got my own angles, yeah
I'ma spend the summer gettin' to the cake
And I'ma wish a nigga would on every candle
I'm like
[Chorus: Kamaiyah & 
YG
]
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'

[Verse 3: YG]
If you ain't know me, bet you know now
Drizzy came through with the verse for me both times
In Bomp-town that's an automatic, hold down
What's that? Ask no questions, just hold it down
Why you hatin' on the progress?
I'm a humble nigga, I don't even pop shit
What I do?
I just drive the Maybach through the projects
And Still Brazy ain't even dropped yet (Whoop-whoop)
Hate from a distance, please don't try me
'Cause we'll turn it up on anybody
I see why they don't like me
Yellin' out 4Hunnid, they go too hyphy
I'm with the posse back at it, nigga (Whoop)
That mean Kamaiyah goin' platinum, nigga (Whoop)
That mean I got a Kindle in my mattress, nigga (Ho)
I got the bity back brackin', nigga
[Chorus: Kamaiyah & 
YG
]
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'"
Constantly Hating,Young Thug,"142 Contributors
Constantly Hating Lyrics
“Constantly Hating” is the opening track to Young Thug’s album-as-mixtape/mixtape-as-album Barter 6. The minimalist, bass-heavy production by Wheezy never overwhelms the verses and contributed to the track… 
Read More
 
[Intro: Young Thug]
Pour that shit up fool, it's ours
Ha, monster
Man, so you ain't gon' pour?
Oh, so you're gonna make a nigga beg you to pour?
Okay, bool, you dig?
(
Wheezy Beats
)
Uh
[Verse 1: Young Thug]
Hopped out my mothafuckin' bed
Hopped in the mothafuckin' coupe (Skrrt)
Pulled up on the Birdman (Brr)
I'm a beast, I'm a beast, I'm a mobster (Ayy)
You got fifty whole bands, you'll be my sponsor (Just for the night)
Them snakes on the plane, me and Kanye-conda (Anacondas)
Yeah (Them anacondas)
I might piece him up and let my partner smoke him (Triple cross)
Chuck-E-Cheese him up, I pizza him, I roll him (Cross)
I'm a gangster, I don't dance, baby, I poke
Right now, I'm surrounded by some gangsters from Magnolia
I heard I put it in the spot, yes, sir, she told me
My niggas muggin', these niggas YSL only
I heard my 'Nolia niggas not friendly, like no way
But we not friendly either, you know it
Ha, yeah, thumbs up
I've seen more holes than a golf course on Donald Trump's course
My bitch a tall blooded horse, nigga, bronco
And if you catch us down, bet you're not gon' trunk us (No)
You got a body, lil' nigga, we got a ton of 'em (Yeah)
You got some Robin's, lil' nigga, we got some Batmans
I let that choppa go ""blocka, blocka,"" get back, son
 (Back)
You got them MJ's, nigga, I got them Jacksons (Racks)

[Chorus: Young Thug]
But really what is it to do
When the whole world constantly hatin' on you?
Pussy niggas hold their nuts, masturbatin' on you
Meanwhile, the fuckin' federal baitin' on you
Nigga, tell me what you do
Would you stand up or would you turn to a pussy nigga?
I got a hundred things to do
And I can stop rappin' but I can't stop stackin' fuckin' figures
[Verse 2: Birdman & 
Young Thug
]
Yeah, I'm from that mothafuckin' 'Nolia, nigga ('Nolia, nigga)
Birdman'll break a nigga nose, lil' nigga (Nose, lil' nigga, 
ah
)
You need to slow your fuckin' roll, lil' nigga (Roll, lil' nigga, 
Thugger
)
We created Ks on shoulders, nigga (Shoulders, nigga)
I'm a scary fuckin' sight, lil' nigga (Sight, lil' nigga, 
ah
)
We won a hundred mil' on fights, lil' nigga (Fights, lil' nigga, 
hey
)
A hundred bands, sure you're right, lil' nigga (Right, lil' nigga)
I keep some AKs on my flights, lil' nigga (My flights, lil' nigga, 
I do
)
Birdman Willie B (What?)
Smoke some stunna blunts, now my eyes Chinese (Chinese)
Hundred K on private flights overseas (Overseas)
Choppas City, nigga, free BG (BG)
Bentley with the doors all 'round, not a Jeep (Jeep)
Rich nigga shit, smoke two pounds in a week (In a week)
Can't find a bitch that don't know we them streets (We them streets)
Bitches know that I am Birdman, that's OG, brrat

[Chorus: Young Thug]
But really what is it to do
When the whole world constantly hatin' on you?
Pussy niggas hold their nuts, masturbatin' on you
Meanwhile the fuckin' federal baitin' on you
Nigga, tell me what you do
Would you stand up or would you turn to a pussy nigga?
I got a hundred things to do
And I can stop rappin' but I can't stop stackin' fuckin' figures
[Verse 3: Young Thug]
Nigga, I'm a crack addict
Thought about lettin' them get a cut
Then I went and snagged at it
Yeah, the new Boosie Badazz at it
I'ma drop a nigga life, just like a bad habit
I stick to the ground like a mothafuckin' rug
I'm a big dog, lil' fuck nigga, you a pup
Lil' bitch, clean your drawers before you think you're with Thug
Before I be in front your shows, just like your pub
I ain't even lyin', baby
I swear to God, I ain't lyin', baby, no
First, I'll screw you without these pliers
, baby, or
I might dap you like, ""Good try, baby""
Big B livin', baby
Them boys on my left throwin' up C's
I promise their mama see them this week
And I don't break promises with my D's (Them my dogs)
I want M's and cheese, mister Mickey D's
She know I am a beast, I am so obese (Rawr)
In Miami, I swear they don't got good weed
Wiz Khalifa, can you send me some weed please?

[Outro: Birdman]
Yeah, overseas, nigga, top floor, clear windows, nigga
Glass house, drankin' GT, you understand?
We in that Red Light District, you understand?
We 3 and 1, that mean 3 on me, nigga, you understand me?
Just livin' the life, boy, ayy, Thug, just a dollar for a 1, nigga
We can blow a mil', boy
Rich Gang, YSL, blatt"
Dekat Di Hati,RAN,"6 Contributors
Dekat Di Hati Lyrics
[Lirik ""Dekat Di Hati""]
[Verse 1]
Dering telefonku
Membuatku tersenyum di pagi hari
Kau bercerita
Semalam kita bertemu dalam mimpi
Entah mengapa
Aku merasakan hadirmu di sini
Tawa candamu
Menghibur saatku sendiri
[Chorus]
Aku di sini dan kau di sana
Hanya berjumpa via suara
Namun 'ku s'lalu menunggu saat kita akan berjumpa
Meski kau kini jauh di sana
Kita memandang langit yang sama
Jauh di mata namun dekat di hati
[Verse 2]
Dering telefonku
Membuatku tersenyum di pagi hari
Tawa candamu
Menghibur saatku sendiri

[Chorus]
Aku di sini dan kau di sana
Hanya berjumpa via suara
Namun 'ku s'lalu menunggu saat kita akan berjumpa
Meski kau kini jauh di sana
Kita memandang langit yang sama
Jauh di mata namun dekat di hati
[Instrumental Bridge]
[Chorus]
Aku di sini dan kau di sana
Hanya berjumpa via suara
Namun 'ku s'lalu menunggu saat kita akan berjumpa
Meski kau kini jauh di sana
Kita memandang langit yang sama
Jauh di mata namun kau dekat di hati
Jarak dan waktu takkan berarti
Karena kau akan selalu di hati
Bagai detak jantung yang 'kubawa kemanapun 'kupergi
Meski kau kini jauh di sana
Kita memandang langit yang sama
Jauh di mata namun dekat di hati
[Outro]
Dekat di hati
Dekat di hati"
My Hatin’ Joint,ScHoolboy Q,"57 Contributors
My Hatin’ Joint Lyrics
[Produced by Mike WiLL Made-It]
[Intro]
Nigga just be wanting all the hoes sometimes. Nigga want every last one of these bitches. Nigga do anything for a bitch. I had to tell the bitch, you nah mean?
[Verse 1]
Look at you, now look at me, now look at him, now back at me
I'm saying tho, I ain't tryna be your nigga, what you playing for?
Came up from the bottom, yeah, that Hoover Figg
Real life fifty niggas,
 so I like 'em thick
And by looking at your curves, you what I deserve
We can head up to the crib old girl, just say the word
Got some purp, got some Henny, got my penis too
Have you ignoring his calls when you fuck with Q
Drop your panties to the floor, down below your feet
Spread them pretty legs and shit, let me see, you should fuck with me, huh
[Bridge]
Man that nigga, that nigga he can't protect ya
Remember when he had left and you took him back from that heffa
And then he did it again and tried to fuck on your friend
And got caught up once with your kin, I'm saying tho
[Interlude]
That nigga like... shit, thirsty for the bitches, sagging my pants and shit. Paid this much for the belt, I better crack a bitch

[Verse 2]
Word around that nigga Q in town
I heard it's for a show, but let me call my ho
They be like, ""Bitch you bet' not be out with them nigga!""
Oh, oh, soon as she hang up with 'em
She like ""There He Go,"" I be swagged from head to toe
Sometimes I ain't gotta hate, she know that my paper grown
Polo shirts and Polo drawers, Polo socks, they matching too
Ooh, with the finest weed, I show you what these OG's do
Super duper triple Loc, can't see me with a telescope
I just wanna dick her down, tell me what's the verdict though
I just swag so fucking hard, she bringing up her nigga
I beats the pussy up, girl you my main contender
[Bridge]
See you keep bringing up him and then he be hanging with them
And then they be hanging with her when he really should be with you
What I do, see he can't do, this is true
You should tell that nigga you through, I'm saying tho
[Interlude]
Like, nigga like, shit, I don't know, shit, I had to nigga, the bitch was bad, nigga, shit, I had to get that one
[Verse 3]
Fresh up out the studio like ""Can I Live""
Looking for a ho so I can break her ribs
I'm saying tho, I got a couple hundreds, what it's hitting fo'
A rack of condoms and some fire, girl lit
Now dim them lights and let me see you do your shit
(Face down, ass up) Fuck me good
'Cause can't no nigga out here fuck you like I could
Grip you by your hair and waist, pillow to face
Satisfaction at its highest point, I set the stakes
Plus, your nigga over there with Tammy 'nem
Giving that bitch all your time, why you deal with him? You oughta win

[Bridge]
See that nigga there is a loser, besides my dick is a ruler
I bring it to ya, and plus he be with them bitches
And treating you like them bitches, you his main or his mistress?
I don't get it, how you living? I'm saying tho
[Interlude]
I don't give a fuck, bruh, like I said, the bitch was bad, bruh, I hit it, bad cuh, I had to hit it, a nigga was cheating on her anyway, definitely cheating on her
[Outro]
My hating joint, my hating joint, my hating joint, my hating joint
Too much gangsta in my lungs for me to hit a joint
My hating joint, my hating joint, my hating joint, my hating joint
Too much gangsta in my lungs for me to hit a joint
My hating joint, my hating joint, my hating joint, my hating joint
Too much gangsta in my lungs for me to hit a joint
My hating joint, my hating joint, my hating joint, my hating joint
Too much gangsta in my lungs for me to hit a joint"
